iter	Passed	Remaining
0	32	32082
1	68	34035
2	108	36175
3	149	37177
4	173	34492
5	195	32388
6	229	32528
7	247	30690
8	280	30925
9	316	31370
10	344	30934
11	386	31820
12	415	31535
13	448	31561
14	479	31506
15	503	30937
16	522	30239
17	542	29617
18	574	29668
19	614	30088
20	646	30116
21	688	30609
22	724	30789
23	757	30813
24	790	30821
25	821	30766
26	850	30663
27	882	30621
28	913	30590
29	942	30484
30	972	30393
31	1004	30376
32	1039	30454
33	1068	30372
34	1096	30230
35	1129	30247
36	1163	30276
37	1196	30286
38	1231	30347
39	1266	30394
40	1299	30385
41	1331	30378
42	1370	30503
43	1402	30469
44	1431	30381
45	1460	30283
46	1489	30206
47	1519	30143
48	1551	30113
49	1583	30080
50	1620	30146
51	1655	30173
52	1693	30258
53	1721	30160
54	1751	30093
55	1782	30053
56	1812	29983
57	1841	29906
58	1871	29846
59	1904	29833
60	1942	29903
61	1976	29899
62	2031	30214
63	2097	30670
64	2139	30783
65	2181	30871
66	2212	30815
67	2244	30764
68	2276	30715
69	2310	30702
70	2340	30628
71	2377	30645
72	2410	30605
73	2442	30560
74	2470	30467
75	2505	30464
76	2555	30632
77	2614	30905
78	2666	31083
79	2718	31265
80	2759	31308
81	2800	31351
82	2828	31252
83	2860	31188
84	2889	31100
85	2922	31059
86	2968	31153
87	3009	31191
88	3041	31130
89	3069	31040
90	3102	30993
91	3130	30901
92	3171	30930
93	3196	30804
94	3219	30674
95	3249	30596
96	3278	30520
97	3304	30417
98	3339	30393
99	3373	30362
100	3412	30372
101	3447	30355
102	3477	30288
103	3504	30193
104	3534	30125
105	3567	30087
106	3611	30138
107	3655	30190
108	3696	30218
109	3735	30222
110	3777	30258
111	3815	30251
112	3857	30279
113	3896	30280
114	3923	30194
115	3952	30122
116	3983	30064
117	4016	30022
118	4049	29983
119	4081	29930
120	4111	29866
121	4151	29874
122	4191	29884
123	4229	29880
124	4276	29932
125	4322	29980
126	4368	30027
127	4399	29969
128	4427	29895
129	4458	29837
130	4494	29815
131	4531	29799
132	4567	29774
133	4599	29726
134	4635	29701
135	4667	29653
136	4694	29574
137	4730	29549
138	4761	29493
139	4797	29473
140	4826	29405
141	4854	29335
142	4886	29282
143	4918	29236
144	4949	29186
145	4979	29127
146	5010	29071
147	5042	29030
148	5076	28995
149	5108	28949
150	5134	28870
151	5163	28805
152	5204	28809
153	5238	28777
154	5272	28743
155	5310	28730
156	5354	28749
157	5394	28749
158	5438	28768
159	5473	28737
160	5500	28664
161	5533	28623
162	5571	28610
163	5602	28556
164	5635	28520
165	5663	28455
166	5692	28391
167	5717	28313
168	5744	28247
169	5776	28202
170	5805	28145
171	5837	28102
172	5867	28050
173	5899	28005
174	5930	27959
175	5961	27911
176	5993	27868
177	6023	27815
178	6053	27764
179	6083	27713
180	6113	27661
181	6143	27610
182	6174	27564
183	6206	27526
184	6237	27480
185	6265	27421
186	6297	27380
187	6335	27363
188	6367	27321
189	6397	27274
190	6425	27214
191	6463	27199
192	6492	27149
193	6523	27103
194	6554	27059
195	6589	27032
196	6618	26976
197	6648	26928
198	6679	26885
199	6711	26847
200	6743	26805
201	6772	26755
202	6801	26701
203	6828	26645
204	6868	26635
205	6901	26599
206	6931	26554
207	6965	26523
208	6999	26492
209	7031	26451
210	7060	26402
211	7088	26347
212	7120	26308
213	7149	26257
214	7177	26204
215	7206	26155
216	7236	26111
217	7267	26069
218	7298	26028
219	7328	25982
220	7360	25945
221	7387	25888
222	7419	25851
223	7449	25806
224	7476	25751
225	7502	25694
226	7531	25648
227	7572	25638
228	7608	25618
229	7646	25600
230	7677	25558
231	7706	25512
232	7733	25458
233	7765	25418
234	7792	25366
235	7821	25319
236	7850	25274
237	7883	25240
238	7920	25218
239	7955	25193
240	7985	25150
241	8012	25096
242	8043	25056
243	8074	25016
244	8105	24977
245	8142	24956
246	8170	24908
247	8199	24864
248	8225	24809
249	8259	24778
250	8294	24751
251	8327	24718
252	8355	24668
253	8386	24631
254	8420	24599
255	8450	24558
256	8485	24532
257	8512	24482
258	8540	24433
259	8570	24393
260	8606	24367
261	8633	24317
262	8661	24272
263	8689	24226
264	8720	24188
265	8753	24153
266	8783	24113
267	8815	24078
268	8856	24067
269	8889	24035
270	8924	24007
271	8956	23972
272	8989	23937
273	9020	23901
274	9053	23868
275	9084	23831
276	9115	23793
277	9147	23756
278	9178	23719
279	9208	23680
280	9240	23643
281	9269	23601
282	9300	23562
283	9333	23531
284	9363	23491
285	9390	23444
286	9418	23398
287	9447	23356
288	9473	23307
289	9504	23269
290	9536	23235
291	9563	23188
292	9598	23161
293	9633	23133
294	9665	23098
295	9697	23063
296	9727	23025
297	9761	22994
298	9793	22961
299	9828	22933
300	9859	22897
301	9889	22857
302	9915	22808
303	9944	22767
304	9973	22727
305	10009	22701
306	10043	22670
307	10074	22635
308	10111	22610
309	10136	22561
310	10164	22519
311	10193	22477
312	10218	22428
313	10251	22397
314	10286	22368
315	10317	22332
316	10344	22287
317	10363	22225
318	10394	22190
319	10430	22164
320	10462	22130
321	10494	22097
322	10525	22061
323	10560	22033
324	10595	22006
325	10628	21974
326	10657	21935
327	10692	21906
328	10721	21865
329	10751	21829
330	10778	21785
331	10806	21743
332	10836	21705
333	10865	21665
334	10896	21629
335	10922	21584
336	10950	21543
337	10982	21509
338	11011	21470
339	11044	21439
340	11073	21399
341	11107	21370
342	11137	21334
343	11171	21304
344	11201	21266
345	11233	21233
346	11260	21190
347	11290	21152
348	11322	21119
349	11352	21083
350	11381	21044
351	11407	21000
352	11433	20955
353	11460	20914
354	11492	20880
355	11526	20852
356	11556	20815
357	11588	20781
358	11614	20737
359	11647	20705
360	11677	20670
361	11712	20641
362	11741	20604
363	11768	20562
364	11793	20518
365	11822	20478
366	11855	20447
367	11885	20412
368	11918	20380
369	11956	20358
370	11993	20334
371	12029	20308
372	12066	20282
373	12100	20254
374	12129	20216
375	12163	20185
376	12196	20154
377	12231	20126
378	12263	20093
379	12295	20060
380	12328	20029
381	12362	19999
382	12395	19968
383	12428	19937
384	12460	19904
385	12493	19872
386	12524	19838
387	12554	19802
388	12586	19769
389	12618	19737
390	12651	19704
391	12682	19671
392	12713	19636
393	12741	19597
394	12772	19562
395	12802	19527
396	12834	19494
397	12861	19453
398	12892	19419
399	12921	19382
400	12954	19350
401	12982	19312
402	13012	19276
403	13037	19233
404	13072	19205
405	13101	19168
406	13130	19131
407	13160	19096
408	13196	19068
409	13230	19039
410	13257	18999
411	13286	18962
412	13319	18930
413	13344	18889
414	13371	18849
415	13403	18816
416	13431	18777
417	13463	18746
418	13495	18712
419	13525	18677
420	13560	18649
421	13590	18614
422	13620	18579
423	13650	18544
424	13674	18500
425	13699	18458
426	13729	18424
427	13753	18380
428	13779	18340
429	13809	18305
430	13839	18270
431	13870	18236
432	13902	18205
433	13937	18176
434	13968	18143
435	13999	18109
436	14025	18069
437	14054	18033
438	14086	18001
439	14113	17962
440	14138	17921
441	14166	17883
442	14194	17846
443	14227	17815
444	14257	17781
445	14285	17745
446	14317	17712
447	14345	17675
448	14371	17636
449	14403	17603
450	14434	17570
451	14461	17533
452	14494	17501
453	14527	17471
454	14555	17434
455	14581	17395
456	14611	17361
457	14643	17328
458	14671	17292
459	14703	17260
460	14742	17236
461	14771	17200
462	14805	17171
463	14837	17139
464	14867	17105
465	14896	17070
466	14928	17037
467	14957	17002
468	14984	16965
469	15012	16928
470	15042	16894
471	15073	16862
472	15099	16823
473	15126	16786
474	15154	16749
475	15183	16715
476	15219	16687
477	15247	16650
478	15274	16614
479	15304	16579
480	15337	16549
481	15365	16513
482	15396	16480
483	15429	16450
484	15459	16415
485	15487	16380
486	15518	16347
487	15548	16313
488	15581	16282
489	15613	16250
490	15642	16215
491	15668	16177
492	15700	16146
493	15733	16115
494	15762	16080
495	15787	16042
496	15817	16008
497	15847	15975
498	15876	15940
499	15906	15906
500	15937	15874
501	15967	15840
502	15997	15806
503	16029	15774
504	16060	15742
505	16090	15708
506	16122	15677
507	16156	15647
508	16192	15619
509	16224	15588
510	16256	15556
511	16286	15523
512	16319	15492
513	16349	15459
514	16377	15423
515	16409	15391
516	16437	15356
517	16462	15318
518	16493	15285
519	16522	15251
520	16557	15222
521	16584	15186
522	16615	15154
523	16648	15123
524	16681	15092
525	16710	15058
526	16739	15023
527	16769	14990
528	16801	14958
529	16830	14925
530	16855	14887
531	16889	14857
532	16923	14828
533	16954	14795
534	16983	14761
535	17015	14729
536	17045	14696
537	17073	14662
538	17105	14629
539	17131	14593
540	17159	14558
541	17189	14525
542	17217	14490
543	17248	14458
544	17276	14423
545	17307	14391
546	17331	14353
547	17355	14314
548	17381	14278
549	17410	14244
550	17444	14215
551	17476	14183
552	17506	14151
553	17547	14126
554	17578	14094
555	17608	14061
556	17639	14029
557	17671	13997
558	17702	13965
559	17730	13931
560	17759	13897
561	17791	13865
562	17821	13833
563	17854	13802
564	17880	13766
565	17907	13731
566	17935	13697
567	17969	13666
568	18005	13638
569	18037	13607
570	18063	13571
571	18090	13535
572	18116	13500
573	18146	13467
574	18178	13436
575	18207	13402
576	18236	13369
577	18270	13339
578	18304	13309
579	18335	13277
580	18367	13245
581	18405	13218
582	18442	13191
583	18489	13170
584	18521	13139
585	18554	13108
586	18588	13078
587	18619	13046
588	18661	13022
589	18693	12990
590	18726	12959
591	18753	12924
592	18788	12895
593	18829	12870
594	18868	12843
595	18904	12814
596	18935	12782
597	18963	12748
598	18991	12713
599	19021	12681
600	19054	12650
601	19085	12617
602	19114	12584
603	19148	12553
604	19178	12521
605	19210	12490
606	19248	12462
607	19284	12433
608	19315	12401
609	19346	12368
610	19374	12334
611	19405	12302
612	19434	12269
613	19462	12235
614	19496	12205
615	19528	12173
616	19563	12144
617	19595	12112
618	19624	12079
619	19654	12046
620	19685	12014
621	19711	11979
622	19741	11946
623	19770	11912
624	19802	11881
625	19831	11848
626	19858	11814
627	19891	11783
628	19920	11749
629	19946	11714
630	19977	11682
631	20015	11654
632	20053	11626
633	20090	11597
634	20117	11563
635	20147	11530
636	20178	11499
637	20210	11467
638	20243	11436
639	20271	11402
640	20305	11372
641	20334	11339
642	20364	11306
643	20397	11275
644	20430	11244
645	20457	11210
646	20485	11176
647	20515	11143
648	20544	11111
649	20571	11076
650	20600	11044
651	20632	11012
652	20663	10980
653	20697	10949
654	20726	10917
655	20757	10885
656	20786	10852
657	20816	10819
658	20846	10786
659	20877	10754
660	20906	10722
661	20936	10689
662	20962	10655
663	20991	10622
664	21020	10589
665	21049	10556
666	21077	10522
667	21106	10489
668	21139	10459
669	21167	10425
670	21198	10393
671	21224	10359
672	21253	10326
673	21283	10294
674	21312	10261
675	21342	10229
676	21373	10197
677	21403	10165
678	21430	10131
679	21457	10097
680	21491	10067
681	21522	10035
682	21557	10005
683	21588	9973
684	21616	9940
685	21647	9908
686	21680	9877
687	21709	9845
688	21743	9814
689	21775	9783
690	21823	9759
691	21860	9729
692	21900	9702
693	21937	9672
694	21974	9643
695	22007	9612
696	22039	9580
697	22070	9549
698	22102	9517
699	22134	9486
700	22161	9452
701	22190	9419
702	22220	9387
703	22250	9355
704	22283	9324
705	22314	9292
706	22346	9261
707	22381	9230
708	22413	9199
709	22443	9167
710	22476	9135
711	22504	9102
712	22537	9071
713	22566	9039
714	22597	9007
715	22625	8974
716	22658	8943
717	22685	8909
718	22722	8880
719	22765	8853
720	22794	8820
721	22823	8787
722	22853	8755
723	22886	8724
724	22914	8691
725	22943	8659
726	22971	8626
727	23000	8593
728	23033	8562
729	23066	8531
730	23096	8499
731	23124	8466
732	23157	8435
733	23190	8404
734	23220	8371
735	23250	8339
736	23281	8307
737	23311	8275
738	23340	8243
739	23368	8210
740	23401	8179
741	23430	8147
742	23460	8114
743	23490	8082
744	23518	8049
745	23546	8017
746	23576	7984
747	23605	7952
748	23634	7920
749	23664	7888
750	23692	7855
751	23724	7824
752	23757	7792
753	23796	7763
754	23828	7732
755	23856	7699
756	23887	7668
757	23918	7636
758	23945	7603
759	23979	7572
760	24010	7540
761	24044	7509
762	24071	7477
763	24103	7445
764	24133	7413
765	24163	7381
766	24197	7350
767	24230	7319
768	24263	7288
769	24293	7256
770	24325	7225
771	24357	7193
772	24388	7162
773	24418	7129
774	24444	7096
775	24474	7064
776	24501	7031
777	24528	6999
778	24556	6966
779	24589	6935
780	24626	6905
781	24654	6872
782	24683	6840
783	24715	6809
784	24742	6776
785	24776	6745
786	24807	6713
787	24839	6682
788	24868	6650
789	24897	6618
790	24924	6585
791	24954	6553
792	24982	6521
793	25019	6491
794	25052	6460
795	25086	6429
796	25123	6399
797	25153	6367
798	25182	6335
799	25214	6303
800	25242	6271
801	25273	6239
802	25307	6208
803	25337	6176
804	25376	6147
805	25407	6115
806	25439	6083
807	25476	6053
808	25503	6021
809	25535	5989
810	25565	5957
811	25590	5924
812	25616	5892
813	25643	5859
814	25675	5828
815	25703	5795
816	25730	5763
817	25761	5731
818	25789	5699
819	25818	5667
820	25847	5635
821	25883	5604
822	25915	5573
823	25942	5541
824	25968	5508
825	25998	5476
826	26024	5444
827	26053	5412
828	26082	5380
829	26115	5348
830	26146	5317
831	26173	5285
832	26208	5254
833	26241	5223
834	26275	5192
835	26309	5161
836	26339	5129
837	26368	5097
838	26402	5066
839	26435	5035
840	26470	5004
841	26501	4972
842	26537	4942
843	26569	4910
844	26600	4879
845	26630	4847
846	26659	4815
847	26689	4783
848	26721	4752
849	26753	4721
850	26779	4688
851	26806	4656
852	26837	4624
853	26866	4593
854	26894	4561
855	26922	4529
856	26951	4497
857	26978	4465
858	27008	4433
859	27039	4401
860	27069	4370
861	27101	4338
862	27133	4307
863	27163	4275
864	27192	4243
865	27220	4211
866	27247	4179
867	27274	4147
868	27303	4115
869	27334	4084
870	27366	4053
871	27397	4021
872	27426	3989
873	27455	3958
874	27489	3927
875	27518	3895
876	27549	3863
877	27576	3831
878	27605	3800
879	27635	3768
880	27660	3736
881	27691	3704
882	27721	3673
883	27749	3641
884	27780	3609
885	27811	3578
886	27844	3547
887	27874	3515
888	27901	3483
889	27931	3452
890	27963	3420
891	27994	3389
892	28023	3357
893	28053	3326
894	28081	3294
895	28113	3263
896	28145	3231
897	28173	3200
898	28207	3168
899	28240	3137
900	28271	3106
901	28311	3075
902	28348	3045
903	28390	3014
904	28431	2984
905	28465	2953
906	28506	2922
907	28541	2891
908	28572	2860
909	28603	2828
910	28634	2797
911	28664	2765
912	28691	2733
913	28720	2702
914	28752	2671
915	28785	2639
916	28815	2608
917	28846	2576
918	28876	2545
919	28903	2513
920	28931	2481
921	28959	2449
922	28989	2418
923	29017	2386
924	29045	2355
925	29076	2323
926	29108	2292
927	29135	2260
928	29163	2228
929	29200	2197
930	29229	2166
931	29257	2134
932	29286	2103
933	29319	2071
934	29353	2040
935	29380	2008
936	29411	1977
937	29437	1945
938	29463	1914
939	29490	1882
940	29531	1851
941	29566	1820
942	29599	1789
943	29628	1757
944	29658	1726
945	29688	1694
946	29717	1663
947	29745	1631
948	29775	1600
949	29806	1568
950	29839	1537
951	29865	1505
952	29891	1474
953	29915	1442
954	29945	1411
955	29974	1379
956	30003	1348
957	30031	1316
958	30063	1285
959	30094	1253
960	30127	1222
961	30154	1191
962	30182	1159
963	30211	1128
964	30236	1096
965	30267	1065
966	30300	1034
967	30328	1002
968	30354	971
969	30387	939
970	30417	908
971	30445	877
972	30474	845
973	30510	814
974	30543	783
975	30572	751
976	30602	720
977	30632	689
978	30665	657
979	30698	626
980	30727	595
981	30757	563
982	30789	532
983	30822	501
984	30857	469
985	30888	438
986	30922	407
987	30954	375
988	30984	344
989	31012	313
990	31046	281
991	31072	250
992	31100	219
993	31131	187
994	31163	156
995	31194	125
996	31227	93
997	31257	62
998	31287	31
999	31313	0
