iter	Logloss	Accuracy
0	0.3008423873	0.9426282663
1	0.2325034675	0.9426282663
2	0.1935621603	0.9426282663
3	0.1816199748	0.942513828
4	0.1791655733	0.942895289
5	0.1763334172	0.9453747854
6	0.172079158	0.9472057982
7	0.1713440186	0.9473583826
8	0.1699442922	0.9473583826
9	0.1664034688	0.9485027656
10	0.1658729252	0.9482357429
11	0.1656184624	0.9484264734
12	0.1654259893	0.9483883273
13	0.1649219442	0.948273889
14	0.1638905794	0.9486172039
15	0.1636939806	0.9485409117
16	0.1636565319	0.9485027656
17	0.1635897763	0.9485790578
18	0.1629913728	0.9488079344
19	0.161027423	0.9497615869
20	0.1606353633	0.9497234408
21	0.1599378596	0.9500667557
22	0.1597552453	0.9497615869
23	0.1581520337	0.9506770933
24	0.1579935833	0.9506389472
25	0.1573084713	0.9512492848
26	0.157055099	0.9510585543
27	0.1561550228	0.9518977685
28	0.1561268344	0.9518596224
29	0.156110625	0.9518596224
30	0.156042348	0.9517833302
31	0.155825866	0.9518596224
32	0.1553279666	0.9520503529
33	0.1552279697	0.9521266451
34	0.1547947686	0.9528132748
35	0.1547039509	0.9528132748
36	0.1539219237	0.9534999046
37	0.1536908066	0.9531184436
38	0.1535433849	0.9533854663
39	0.1529667329	0.9534236124
40	0.1529095102	0.9534236124
41	0.1527206406	0.9535761968
42	0.152294452	0.9538432195
43	0.1517033829	0.95403395
44	0.1516109459	0.9541483883
45	0.1512989672	0.9543391188
46	0.1512015344	0.9544535571
47	0.1511690712	0.9543772649
48	0.1511594513	0.9543772649
49	0.1509215084	0.9541865344
50	0.1508345647	0.9544535571
51	0.1506898544	0.9546824337
52	0.1506341546	0.9548350181
53	0.1505947962	0.9550638947
54	0.1505862101	0.9550638947
55	0.1504840094	0.9551401869
56	0.150452056	0.9549494564
57	0.1504040275	0.9548731642
58	0.1503533494	0.9549876025
59	0.150137282	0.9549113103
60	0.1500522935	0.9550638947
61	0.1500469631	0.9549876025
62	0.149360918	0.9552546252
63	0.1493297227	0.9552546252
64	0.1493144248	0.955178333
65	0.1492866969	0.9550638947
66	0.1492828337	0.9550638947
67	0.1489849194	0.9552164791
68	0.1489568706	0.9553309174
69	0.1489406717	0.9553309174
70	0.1488992603	0.9553309174
71	0.1488705342	0.9552927713
72	0.1485571516	0.9552164791
73	0.1483752535	0.9555216479
74	0.1483744366	0.9555979401
75	0.1476167092	0.955941255
76	0.1475951431	0.9557123784
77	0.1474118065	0.9559031089
78	0.1473763645	0.955941255
79	0.1473092564	0.9558649628
80	0.1472880698	0.955941255
81	0.1472781292	0.9559031089
82	0.1472675446	0.9559031089
83	0.1471813999	0.955941255
84	0.1471310212	0.9559794011
85	0.1470365107	0.955941255
86	0.1469033527	0.9561319855
87	0.1468130544	0.9560556933
88	0.1466566667	0.9561701316
89	0.1465945872	0.956322716
90	0.1464969592	0.9562845699
91	0.146480144	0.956322716
92	0.1463234827	0.9564371543
93	0.1463222162	0.9564371543
94	0.1463141166	0.9563608621
95	0.146248151	0.9564371543
96	0.1462037369	0.9565897387
97	0.1461683802	0.9565134465
98	0.1459802963	0.9568567614
99	0.1457535381	0.9567804692
100	0.145703886	0.9568186153
101	0.1456727945	0.9568186153
102	0.1456296082	0.9568186153
103	0.1455827255	0.9567804692
104	0.1455591138	0.9568186153
105	0.1453038725	0.9569330536
106	0.1451721463	0.9571619302
107	0.1451637929	0.9571237841
108	0.145035154	0.9572382224
109	0.1447585068	0.9575052451
110	0.1446489245	0.9577341217
111	0.1444233178	0.9576578295
112	0.1444150265	0.9576578295
113	0.1443881101	0.9576578295
114	0.1443865276	0.9576578295
115	0.1443256339	0.9575815373
116	0.144192392	0.9573908068
117	0.1439811427	0.9577341217
118	0.1438810307	0.9578104139
119	0.143739033	0.9578867061
120	0.1435579771	0.95784856
121	0.1433871667	0.9577341217
122	0.1433814408	0.9577341217
123	0.1431927567	0.9578867061
124	0.1431354022	0.9580392905
125	0.1426940584	0.9582681671
126	0.1424866918	0.9583444593
127	0.1424311348	0.958230021
128	0.1424185124	0.958230021
129	0.1423612505	0.958230021
130	0.1422154809	0.9581918749
131	0.1421606704	0.9581918749
132	0.1421053818	0.9582681671
133	0.141887465	0.9584970437
134	0.1416792097	0.9588403586
135	0.1414738517	0.9588403586
136	0.1414652971	0.9588403586
137	0.1407872811	0.9588785047
138	0.14074354	0.9587259203
139	0.1406922901	0.9589166508
140	0.1406775645	0.9588403586
141	0.1406564105	0.9588403586
142	0.1404661255	0.9588403586
143	0.1404281942	0.9587259203
144	0.1403367902	0.9589547969
145	0.140115915	0.9587259203
146	0.1395998372	0.9591836735
147	0.1395512197	0.9591836735
148	0.1391547015	0.959374404
149	0.1390159971	0.9596414267
150	0.1390051904	0.9596795728
151	0.1389498525	0.9597177189
152	0.1389129599	0.9597940111
153	0.1388614704	0.9596414267
154	0.1388562658	0.9595651345
155	0.1388453378	0.9596032806
156	0.1388416803	0.9596414267
157	0.1385364985	0.9594506962
158	0.1384824487	0.9594506962
159	0.1384718174	0.9594506962
160	0.1384707308	0.9594506962
161	0.1383017166	0.9596414267
162	0.1382896414	0.9596795728
163	0.1382673828	0.9596414267
164	0.1380483879	0.9594888423
165	0.1380139274	0.9594888423
166	0.1380044712	0.9595269884
167	0.1379954452	0.9595269884
168	0.1379841601	0.9594888423
169	0.1379471635	0.959374404
170	0.1379083768	0.9594125501
171	0.137892047	0.9594888423
172	0.1378766342	0.9594888423
173	0.137800555	0.9594888423
174	0.1375881624	0.9595269884
175	0.1375711941	0.9595269884
176	0.1374928859	0.9597177189
177	0.1372480638	0.960137326
178	0.1371862035	0.9602136182
179	0.1371757111	0.9602136182
180	0.1371496245	0.9602517643
181	0.1367346065	0.9608621019
182	0.1367201297	0.9608239558
183	0.1366128556	0.9607095175
184	0.1361668446	0.9608621019
185	0.1360982427	0.9608621019
186	0.1360813988	0.9608621019
187	0.1360448254	0.9609765401
188	0.1360408766	0.9609765401
189	0.1358344146	0.9607858097
190	0.1358290415	0.9607858097
191	0.1358166356	0.9607858097
192	0.1357953051	0.9608621019
193	0.1357846009	0.9608621019
194	0.1357531182	0.9609765401
195	0.1357336768	0.9610909784
196	0.1357088015	0.9610146862
197	0.1356809076	0.9610146862
198	0.135602374	0.9610528323
199	0.1353927695	0.9611672706
200	0.1353339035	0.9611291245
201	0.1353227251	0.9611291245
202	0.1352940152	0.9611291245
203	0.1352810252	0.9611672706
204	0.1351646824	0.9612054167
205	0.1348544955	0.9613961472
206	0.1348306522	0.9614342933
207	0.1348166339	0.9613961472
208	0.1347913415	0.9613961472
209	0.134740365	0.9615868777
210	0.1346999182	0.9615868777
211	0.1346976657	0.9615868777
212	0.1344484261	0.9617394621
213	0.1344103901	0.9616631699
214	0.1344044784	0.961701316
215	0.1342935817	0.9617394621
216	0.1342845697	0.961701316
217	0.1342645083	0.9615868777
218	0.1341705158	0.9617394621
219	0.1341678577	0.9617394621
220	0.1341594667	0.9616631699
221	0.1341478306	0.961701316
222	0.1340819793	0.9618539004
223	0.1340612284	0.9617776082
224	0.134060029	0.9618157543
225	0.134055538	0.9618157543
226	0.134043608	0.9618157543
227	0.1340149971	0.9618539004
228	0.1340108732	0.9618539004
229	0.1338254517	0.9618157543
230	0.1338062952	0.9618157543
231	0.1337579925	0.9619301926
