iter	Logloss
0	0.5443376093
1	0.4442265731
2	0.3765496942
3	0.3300952208
4	0.2964745523
5	0.2703897147
6	0.2520143621
7	0.2371740183
8	0.2224823657
9	0.2110981074
10	0.2034424628
11	0.1983101573
12	0.1937376071
13	0.1896360473
14	0.187444684
15	0.185279904
16	0.1828059149
17	0.1812455331
18	0.1796491557
19	0.1787116079
20	0.1771753862
21	0.1761410034
22	0.1753479566
23	0.1745720304
24	0.1735421734
25	0.1726870776
26	0.1718820064
27	0.1715210328
28	0.1709578689
29	0.170637797
30	0.1705066745
31	0.1701312102
32	0.1698658909
33	0.1694061842
34	0.169201688
35	0.1690052201
36	0.1686184907
37	0.1683653776
38	0.1681706351
39	0.1678735031
40	0.1677719645
41	0.167663668
42	0.1674365687
43	0.167212554
44	0.1670390024
45	0.1668755803
46	0.1667004737
47	0.1665995309
48	0.1665199311
49	0.1663362486
50	0.1661962551
51	0.1658993642
52	0.165800699
53	0.1656537232
54	0.1654343718
55	0.1653113837
56	0.1651651783
57	0.164996323
58	0.1648048197
59	0.1647148468
60	0.1646553642
61	0.1645074337
62	0.1643140958
63	0.1641289904
64	0.1640400459
65	0.163847456
66	0.1637616915
67	0.163606237
68	0.1635026903
69	0.1634139583
70	0.1631918636
71	0.1630519187
72	0.1628231101
73	0.1627899499
74	0.1626745245
75	0.1625720089
76	0.1624897819
77	0.1624159422
78	0.162354116
79	0.162261297
80	0.1621437911
81	0.161972883
82	0.1619150703
83	0.1618142359
84	0.1615506533
85	0.161334817
86	0.161241727
87	0.1612044672
88	0.1610971044
89	0.1609857184
90	0.1608845666
91	0.1607509801
92	0.1606902369
93	0.1606244282
94	0.1604718441
95	0.1603395297
96	0.1602209272
97	0.1601542633
98	0.160082123
99	0.1598839771
100	0.1596889895
101	0.1595081347
102	0.159425122
103	0.1593177387
104	0.1592894112
105	0.1591105583
106	0.1590237832
107	0.1589764865
108	0.1588927964
109	0.1588026786
110	0.1587232181
111	0.1585507415
112	0.158440831
113	0.1583265451
114	0.1582637413
115	0.1581101225
116	0.1579726395
117	0.1577952779
118	0.1577075003
119	0.157583728
120	0.1574806203
121	0.1573966513
122	0.15728291
123	0.1571112273
124	0.1567344498
125	0.156637697
126	0.1565424636
127	0.1565081537
128	0.1563255203
129	0.1562663309
130	0.1562395767
131	0.1560776253
132	0.1558836631
133	0.1557609412
134	0.1555755039
135	0.1555075019
136	0.1554436118
137	0.155360133
138	0.1552037934
139	0.1550462065
140	0.1549229785
141	0.1548498553
142	0.1547995609
143	0.1547420315
144	0.1546362038
145	0.1545212625
146	0.154429624
147	0.154292106
148	0.1542692752
149	0.1542379017
150	0.154171984
151	0.1541338643
152	0.1539987056
153	0.1538264466
154	0.1537885747
155	0.1537209783
156	0.153551178
157	0.1534573648
158	0.1533192392
159	0.1531771131
160	0.152952133
161	0.1528356257
162	0.1527348408
163	0.1525221897
164	0.1524363163
165	0.1523384142
166	0.1521278687
167	0.1520493795
168	0.1520105986
169	0.1518939867
170	0.1518545275
171	0.1516478708
172	0.1515951437
173	0.1514398419
174	0.151267801
175	0.151172125
176	0.1511250369
177	0.1510133375
178	0.1509860941
179	0.1508656769
180	0.1508329368
181	0.1506918953
182	0.1506347137
183	0.1505046359
184	0.1503315717
185	0.1502568106
186	0.1500331288
187	0.1500074538
188	0.1499391699
189	0.1498767128
190	0.1498142603
191	0.1497231213
192	0.1496886361
193	0.1496384745
194	0.1495579454
195	0.1494349862
196	0.1494021861
197	0.149272803
198	0.1491257228
199	0.1491037124
200	0.1490272642
201	0.1489819893
202	0.1489367459
203	0.1488322164
204	0.1487036012
205	0.148688233
206	0.1486215731
207	0.1484949223
208	0.1484380865
209	0.1483937339
210	0.1483355801
211	0.1482474515
212	0.1481924105
213	0.1480567598
214	0.1479573958
215	0.1478449645
216	0.1477262041
217	0.1477031042
218	0.147630001
219	0.1475007366
220	0.1474616619
221	0.1474446291
222	0.1474025153
223	0.1473547761
224	0.1473140357
225	0.1472272721
226	0.1471860971
227	0.1471592415
228	0.14711619
229	0.1470242707
230	0.1468879631
231	0.1468591811
232	0.1466843865
233	0.1465778606
234	0.1465019193
235	0.1464607999
236	0.1463538893
237	0.1462812852
238	0.1462511714
239	0.1461444226
240	0.1460647498
241	0.1460079804
242	0.1459491327
243	0.1459191117
244	0.1458673887
245	0.1458103585
246	0.1457561549
247	0.1457171346
248	0.1456301084
249	0.145486291
250	0.1453326272
251	0.1452568387
252	0.1451751217
253	0.1450321367
254	0.1449466124
255	0.1448419788
256	0.1447987653
257	0.1447371134
258	0.1445989475
259	0.1445837071
260	0.1445293074
261	0.1444880911
262	0.1444281743
263	0.1443313726
264	0.1442031057
265	0.1440820097
266	0.1440677981
267	0.1439643056
268	0.1439134462
269	0.1438805678
270	0.1438551835
271	0.1437298991
272	0.1435752924
273	0.1435519531
274	0.1434297935
275	0.1433815908
276	0.1432960929
277	0.1432480703
278	0.1432060133
279	0.1431736846
280	0.1430856051
281	0.1430045168
282	0.142863075
283	0.1428420719
284	0.142809002
285	0.1427073043
286	0.1426066974
287	0.1425488209
288	0.1425024218
289	0.1424694538
290	0.1424273217
291	0.1423838902
292	0.1423635336
293	0.1422624677
294	0.1422255132
295	0.1421861094
296	0.1421730004
297	0.1421260478
298	0.1420529744
299	0.1419965582
