iter	Logloss_SumError	Logloss_SumWeight
483	2070.612145	32769
484	2070.785394	32769
485	2071.545682	32769
486	2071.317227	32769
487	2071.386132	32769
488	2067.439543	32769
489	2067.549318	32769
490	2067.546786	32769
491	2067.300383	32769
492	2065.468041	32769
493	2065.41604	32769
494	2065.382825	32769
495	2064.521231	32769
496	2064.613682	32769
497	2064.578168	32769
498	2064.96825	32769
499	2064.839537	32769
500	2064.697539	32769
501	2065.652253	32769
502	2065.672921	32769
503	2063.192151	32769
504	2063.026148	32769
505	2063.041578	32769
506	2063.162162	32769
507	2062.914892	32769
508	2065.635381	32769
509	2064.427488	32769
510	2064.756817	32769
511	2064.885636	32769
512	2065.056077	32769
513	2064.764702	32769
514	2064.900261	32769
515	2063.450725	32769
516	2066.835066	32769
517	2067.277444	32769
518	2067.305935	32769
519	2065.553742	32769
520	2065.745699	32769
521	2065.804862	32769
522	2064.323102	32769
523	2064.263648	32769
524	2064.187663	32769
525	2063.972977	32769
526	2064.232104	32769
527	2062.811118	32769
528	2062.630425	32769
529	2063.052836	32769
530	2063.313147	32769
531	2062.530415	32769
532	2062.203348	32769
533	2062.135377	32769
534	2063.437124	32769
535	2063.782151	32769
536	2063.552118	32769
537	2063.917111	32769
538	2064.516806	32769
539	2060.027953	32769
540	2059.996969	32769
541	2060.700747	32769
542	2060.170346	32769
543	2060.300761	32769
544	2060.291066	32769
545	2061.273998	32769
546	2059.857566	32769
547	2059.843555	32769
548	2060.128978	32769
549	2058.778695	32769
550	2059.517304	32769
551	2059.801782	32769
552	2058.97748	32769
553	2053.064102	32769
554	2053.070537	32769
555	2051.99783	32769
556	2051.902284	32769
557	2052.450122	32769
558	2052.627133	32769
559	2052.641195	32769
560	2052.608447	32769
561	2052.534326	32769
562	2052.516592	32769
563	2052.065936	32769
564	2052.295138	32769
565	2051.658058	32769
566	2051.548446	32769
567	2050.308993	32769
568	2050.32038	32769
569	2049.950222	32769
570	2051.766742	32769
571	2051.890772	32769
572	2051.885903	32769
573	2051.813379	32769
574	2051.772854	32769
575	2051.949969	32769
576	2051.994055	32769
577	2052.692604	32769
578	2051.248299	32769
579	2050.427069	32769
580	2050.681201	32769
581	2050.770618	32769
582	2049.266295	32769
583	2048.8652	32769
584	2048.850267	32769
585	2048.913536	32769
586	2048.985039	32769
587	2049.182025	32769
588	2048.988556	32769
589	2048.611193	32769
590	2048.955581	32769
591	2048.793517	32769
592	2047.995213	32769
593	2048.248532	32769
594	2047.637033	32769
595	2049.460368	32769
596	2046.267836	32769
597	2045.143412	32769
598	2045.699742	32769
599	2045.774158	32769
600	2044.641615	32769
601	2044.757705	32769
602	2044.774859	32769
603	2044.653452	32769
604	2044.91984	32769
605	2044.518399	32769
606	2044.606608	32769
607	2043.164735	32769
608	2043.312702	32769
609	2043.312989	32769
610	2043.387536	32769
611	2043.220186	32769
612	2043.518243	32769
613	2043.537386	32769
614	2043.957808	32769
615	2043.919522	32769
616	2043.838881	32769
617	2044.115225	32769
618	2045.082426	32769
619	2045.124616	32769
620	2045.164724	32769
621	2043.546641	32769
622	2043.662028	32769
623	2043.297085	32769
624	2042.513357	32769
625	2042.338621	32769
626	2042.545386	32769
627	2042.523471	32769
628	2042.501326	32769
629	2042.725951	32769
630	2042.735295	32769
631	2042.860765	32769
632	2041.830017	32769
633	2041.822958	32769
634	2043.012746	32769
635	2037.218491	32769
636	2037.307934	32769
637	2037.223779	32769
638	2036.921147	32769
639	2037.210083	32769
640	2037.323977	32769
641	2036.235851	32769
642	2036.193669	32769
643	2035.597356	32769
644	2035.592768	32769
645	2032.535963	32769
646	2032.379248	32769
647	2032.424142	32769
648	2032.406395	32769
649	2032.303484	32769
650	2031.541011	32769
651	2031.20891	32769
652	2031.187077	32769
653	2031.304271	32769
654	2032.255763	32769
655	2032.087285	32769
656	2032.108666	32769
657	2031.492088	32769
658	2032.645262	32769
659	2033.074855	32769
660	2035.921858	32769
661	2035.391483	32769
662	2035.393875	32769
663	2035.648998	32769
664	2035.670385	32769
665	2035.594692	32769
666	2036.635904	32769
667	2036.607784	32769
668	2036.667721	32769
669	2036.525716	32769
670	2036.40803	32769
671	2036.41307	32769
672	2036.274263	32769
673	2036.287612	32769
674	2036.000764	32769
675	2034.450685	32769
676	2034.430641	32769
677	2033.911805	32769
678	2033.958363	32769
679	2033.958662	32769
680	2033.5183	32769
681	2032.66888	32769
682	2032.61555	32769
683	2032.573676	32769
684	2032.626225	32769
685	2032.520894	32769
686	2032.629353	32769
687	2032.638331	32769
688	2033.251681	32769
689	2033.140319	32769
690	2032.440993	32769
691	2032.599678	32769
692	2033.646751	32769
693	2033.675166	32769
694	2032.962396	32769
695	2032.054443	32769
696	2032.058631	32769
697	2031.757251	32769
698	2032.545394	32769
699	2032.111975	32769
700	2032.114883	32769
701	2032.117022	32769
702	2032.132666	32769
703	2032.069868	32769
704	2032.814624	32769
705	2033.032395	32769
706	2032.85304	32769
707	2032.848036	32769
708	2032.851745	32769
709	2032.799708	32769
710	2033.33507	32769
711	2032.881727	32769
712	2033.154141	32769
713	2033.376432	32769
714	2033.194667	32769
715	2032.811511	32769
716	2032.763571	32769
717	2032.809134	32769
718	2032.824809	32769
719	2032.850446	32769
720	2033.00575	32769
721	2032.375115	32769
722	2032.329823	32769
723	2032.347978	32769
724	2032.292505	32769
725	2032.107834	32769
726	2032.022791	32769
727	2033.168396	32769
728	2033.29793	32769
729	2033.095044	32769
730	2032.820725	32769
731	2032.821384	32769
732	2032.697059	32769
733	2031.338441	32769
734	2031.555753	32769
735	2031.184407	32769
736	2031.387589	32769
737	2030.411666	32769
738	2030.19113	32769
739	2030.06247	32769
740	2030.211007	32769
741	2031.519712	32769
742	2031.299422	32769
743	2031.346574	32769
744	2030.784052	32769
745	2031.572417	32769
746	2031.530249	32769
747	2031.614172	32769
748	2030.481612	32769
749	2030.417933	32769
750	2030.218554	32769
751	2030.196381	32769
752	2030.18684	32769
753	2030.447914	32769
754	2030.457329	32769
755	2030.66286	32769
756	2030.443877	32769
757	2030.155781	32769
758	2030.215595	32769
759	2030.14333	32769
760	2030.429447	32769
761	2030.375604	32769
762	2030.500213	32769
763	2030.606748	32769
764	2030.802527	32769
765	2031.203538	32769
766	2031.078722	32769
767	2029.905635	32769
768	2026.308571	32769
769	2026.637523	32769
770	2026.683294	32769
771	2026.642283	32769
772	2026.675521	32769
773	2026.032467	32769
774	2026.899407	32769
775	2026.487116	32769
776	2026.608341	32769
777	2026.492538	32769
778	2026.500955	32769
779	2026.652844	32769
780	2026.748584	32769
781	2026.780099	32769
782	2026.747538	32769
783	2026.704324	32769
784	2026.573781	32769
785	2026.568275	32769
786	2026.856204	32769
787	2026.985646	32769
788	2027.031577	32769
789	2027.650321	32769
790	2027.696617	32769
791	2027.718194	32769
792	2027.483834	32769
793	2027.365543	32769
794	2027.35845	32769
795	2027.316885	32769
796	2027.240811	32769
797	2027.186733	32769
798	2027.132475	32769
799	2027.142699	32769
800	2027.080479	32769
801	2027.048837	32769
802	2026.636016	32769
803	2026.662923	32769
804	2026.754018	32769
805	2026.321352	32769
