iter	Passed	Remaining
403	11824	17444
404	11858	17421
405	11892	17400
406	11934	17388
407	11974	17375
408	12008	17352
409	12043	17331
410	12078	17310
411	12111	17285
412	12148	17266
413	12180	17240
414	12213	17216
415	12244	17190
416	12275	17162
417	12310	17139
418	12343	17116
419	12374	17088
420	12407	17063
421	12436	17034
422	12466	17005
423	12495	16975
424	12530	16953
425	12563	16927
426	12593	16899
427	12619	16865
428	12642	16827
429	12672	16798
430	12704	16772
431	12735	16744
432	12770	16721
433	12802	16696
434	12833	16669
435	12863	16640
436	12893	16611
437	12932	16593
438	12962	16564
439	12994	16538
440	13021	16505
441	13050	16475
442	13079	16444
443	13108	16414
444	13138	16386
445	13167	16355
446	13197	16326
447	13228	16299
448	13259	16271
449	13291	16244
450	13326	16222
451	13359	16197
452	13389	16167
453	13420	16140
454	13451	16112
455	13486	16088
456	13518	16062
457	13551	16037
458	13582	16008
459	13612	15980
460	13644	15952
461	13673	15923
462	13706	15896
463	13737	15868
464	13762	15834
465	13790	15802
466	13812	15764
467	13839	15731
468	13870	15704
469	13905	15680
470	13935	15651
471	13958	15614
472	13984	15580
473	14002	15538
474	14032	15509
475	14064	15483
476	14097	15457
477	14129	15429
478	14155	15397
479	14184	15367
480	14209	15332
481	14236	15299
482	14265	15269
483	14295	15240
484	14323	15209
485	14351	15178
486	14378	15145
487	14411	15119
488	14441	15091
489	14473	15064
490	14500	15031
491	14533	15005
492	14560	14974
493	14591	14946
494	14623	14918
495	14652	14888
496	14676	14853
497	14706	14824
498	14736	14795
499	14769	14769
500	14799	14740
501	14833	14715
502	14857	14680
503	14883	14647
504	14916	14621
505	14946	14592
506	14974	14561
507	15005	14532
508	15054	14522
509	15080	14489
510	15112	14462
511	15144	14434
512	15169	14400
513	15212	14383
514	15247	14359
515	15281	14333
516	15312	14305
517	15344	14278
518	15377	14251
519	15409	14224
520	15441	14196
521	15468	14164
522	15499	14136
523	15526	14104
524	15550	14069
525	15581	14041
526	15612	14012
527	15642	13983
528	15671	13953
529	15704	13926
530	15737	13899
531	15766	13870
532	15800	13843
533	15826	13811
534	15859	13784
535	15894	13759
536	15926	13731
537	15953	13699
538	15983	13670
539	16007	13635
540	16037	13606
541	16063	13573
542	16097	13547
543	16124	13516
544	16165	13496
545	16198	13468
546	16229	13440
547	16263	13414
548	16294	13385
549	16329	13360
550	16359	13330
551	16392	13303
552	16423	13275
553	16452	13245
554	16479	13213
555	16506	13181
556	16535	13151
557	16563	13120
558	16591	13089
559	16625	13062
560	16647	13027
561	16680	13000
562	16711	12971
563	16741	12941
564	16763	12906
565	16797	12880
566	16830	12852
567	16859	12822
568	16886	12790
569	16923	12766
570	16956	12739
571	16995	12716
572	17033	12693
573	17066	12665
574	17099	12638
575	17130	12609
576	17157	12578
577	17190	12551
578	17218	12519
579	17244	12487
580	17276	12459
581	17303	12427
582	17333	12398
583	17363	12368
584	17401	12344
585	17427	12312
586	17459	12284
587	17488	12253
588	17520	12225
589	17555	12199
590	17583	12168
591	17609	12136
592	17642	12108
593	17672	12079
594	17702	12049
595	17727	12016
596	17759	11988
597	17790	11959
598	17823	11931
599	17851	11900
600	17880	11870
601	17907	11839
602	17940	11811
603	17971	11782
604	18004	11754
605	18034	11725
606	18063	11695
607	18096	11667
608	18140	11646
609	18170	11616
610	18204	11589
611	18233	11559
612	18261	11528
613	18292	11500
614	18324	11471
615	18360	11445
616	18393	11417
617	18427	11390
618	18460	11362
619	18487	11331
620	18516	11300
621	18535	11264
622	18567	11235
623	18594	11204
624	18628	11177
625	18654	11145
626	18689	11118
627	18723	11090
628	18752	11060
629	18780	11030
630	18804	10996
631	18830	10964
632	18857	10933
633	18882	10900
634	18908	10868
635	18939	10839
636	18972	10811
637	19000	10780
638	19029	10750
639	19063	10723
640	19094	10693
641	19125	10664
642	19160	10637
643	19187	10606
644	19212	10574
645	19240	10543
646	19270	10514
647	19301	10484
648	19328	10453
